id,item_group_id,title,description,availability,condition,price,sale_price,size,link,image_link,additional_image_link,brand,google_product_category,product_type,additional_variant_attribute,custom_label_0,quantity_to_sell_on_facebook
4040-445-3184,4040,12 Titleist TruFeel Yellow AAA/Standard Grade,TruFeel Yellow Golf Balls - Huge Savings. Best Value - Free Tees With Every Order! Order Before 3pm - Same Day Dispatch. Best Golf Balls At Lost Golf Balls.,in stock,used_good,19.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/titleist-trufeel-yellow.html,https://www.lostgolfballs.com.au/media/catalog/product/t/i/titleist_trufeel_yellow.jpg,,Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Titleist,Grade:AAA/Standard Grade,AAA/Standard Grade,
4047-446-4204,4047,50 Titleist Pro V1 Mint/Near Mint Grade (With Pen Marks),"Huge Special - These Titleist Pro V1's are available in two grades. We have our premium ""MINT/NEAR MINT Grade"" and our ""AAA/Standard Grade."" The Pro V1's so cheap as they have player pen marks and/or corporate logo's on them. This does not stop them being played nor affect the flight at all. They are perfect for comp or social rounds. At this price they are up to 30% cheaper than our standard pricing. VERY limited stock. The Titleist Pro V1 combines distance with durability and feel and is the most popular ball on the professional circuit. The Pro V1 is manufactured to provide spin and consistent flight. These balls are designed for golfers with a swing speed of 155 - 170 kph and each of these balls has been individually inspected by a member of our staff to ensure it's quality. The 3 piece Pro V1 revolutionised the game when it was introduced a decade ago and our Pro V1's represent the best value money can buy. Basic information of the Titleist Pro V1: - ZG core technology - Responsive Ionomeric casing layer - Durable Urethane Elastomer cover - Trihedral 352 dimple design - Alignment Integrated Marking - Polybutadiene core",in stock,used_like_new,129.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/titleist-pro-v1-50-pen.html,https://www.lostgolfballs.com.au/media/catalog/product/t/i/titleist_pro_v1.4.jpeg,,Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Titleist,Grade:50 Titleist Pro V1 Mint/Near Mint Grade (With Pen Marks),50 Titleist Pro V1 Mint/Near Mint Grade (With Pen Marks),
4047-446-3198,4047,50 Titleist Pro V1 AAA/Standard Grade (With Pen Marks),"Huge Special - These Titleist Pro V1's are available in two grades. We have our premium ""MINT/NEAR MINT Grade"" and our ""AAA/Standard Grade."" The Pro V1's so cheap as they have player pen marks and/or corporate logo's on them. This does not stop them being played nor affect the flight at all. They are perfect for comp or social rounds. At this price they are up to 30% cheaper than our standard pricing. VERY limited stock. The Titleist Pro V1 combines distance with durability and feel and is the most popular ball on the professional circuit. The Pro V1 is manufactured to provide spin and consistent flight. These balls are designed for golfers with a swing speed of 155 - 170 kph and each of these balls has been individually inspected by a member of our staff to ensure it's quality. The 3 piece Pro V1 revolutionised the game when it was introduced a decade ago and our Pro V1's represent the best value money can buy. Basic information of the Titleist Pro V1: - ZG core technology - Responsive Ionomeric casing layer - Durable Urethane Elastomer cover - Trihedral 352 dimple design - Alignment Integrated Marking - Polybutadiene core",in stock,used_good,89.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/titleist-pro-v1-50-pen.html,https://www.lostgolfballs.com.au/media/catalog/product/t/i/titleist_pro_v1.4.jpeg,,Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Titleist,Grade:AAA/Standard Grade,AAA/Standard Grade,
4048-447-3203,4048,50 Titleist Pro V1x Mint/Near Mint Grade (With Pen Marks),"Huge Special - These Titleist Pro V1x's are available in two grades. We have our premium ""MINT/NEAR MINT Grade"" and our ""AAA/Standard Grade."" The Pro V1x's so cheap as they have player pen marks and/or corporate logo's on them. This does not stop them being played nor affect the flight at all. They are perfect for comp or social rounds. At this price they are up to 30% cheaper than our standard pricing. VERY limited stock. The Titleist Pro V1x moved the game up a notch. With 328 dimples, this three piece ball gives less spin off the driver, wood and long iron yet allows a huge amount of control around the greens. The V1x is the perfect compliment to the V1 range is one of the most popular balls for tour professionals and low handicaper golfers who are looking for a little extra length. The V1x is ideal for those with a swing speed in excess of 165 kph and who hit the ball with a minimum amount of slice or fade. Each of our recycled Pro V1x's have been hand graded twice to guarantee their quality. Basic information of the Pro V1x - High velocity dual core with soft centre - Ionomeric casing layer - Durable urethane cover - Aerodynamic 328 dimple design - Alignment marking - Polybutadiene core Titleist became the name that was synonymous with the golf ball. The strength of the brand name made it immediately recognisable even if the high handicap golfer was looking for the cheapest ball available as he or she learnt the game. Titleist produces something for everyone and although the Pro V1x is very much a specialist ball, it is worth considering if you are keen to try your hand with a tour grade product. If you are a higher handicap golfer looking to use a slightly more affordable option, you may consider the Titleist NXT or Titleist DT SoLo as both are proven performers a can help aid golfers with a slightly more inconsistent swing.",in stock,used_like_new,139.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/titleist-pro-v1x-50-pen.html,https://www.lostgolfballs.com.au/media/catalog/product/t/i/titleist_pro_v1x_with_pen_marks_.jpeg,,Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Titleist,Grade:50 Titleist Pro V1x Mint/Near Mint Grade (With Pen Marks),50 Titleist Pro V1x Mint/Near Mint Grade (With Pen Marks),
4048-447-3204,4048,50 Titleist Pro V1x AAA/Standard Grade (With Pen Marks),"Huge Special - These Titleist Pro V1x's are available in two grades. We have our premium ""MINT/NEAR MINT Grade"" and our ""AAA/Standard Grade."" The Pro V1x's so cheap as they have player pen marks and/or corporate logo's on them. This does not stop them being played nor affect the flight at all. They are perfect for comp or social rounds. At this price they are up to 30% cheaper than our standard pricing. VERY limited stock. The Titleist Pro V1x moved the game up a notch. With 328 dimples, this three piece ball gives less spin off the driver, wood and long iron yet allows a huge amount of control around the greens. The V1x is the perfect compliment to the V1 range is one of the most popular balls for tour professionals and low handicaper golfers who are looking for a little extra length. The V1x is ideal for those with a swing speed in excess of 165 kph and who hit the ball with a minimum amount of slice or fade. Each of our recycled Pro V1x's have been hand graded twice to guarantee their quality. Basic information of the Pro V1x - High velocity dual core with soft centre - Ionomeric casing layer - Durable urethane cover - Aerodynamic 328 dimple design - Alignment marking - Polybutadiene core Titleist became the name that was synonymous with the golf ball. The strength of the brand name made it immediately recognisable even if the high handicap golfer was looking for the cheapest ball available as he or she learnt the game. Titleist produces something for everyone and although the Pro V1x is very much a specialist ball, it is worth considering if you are keen to try your hand with a tour grade product. If you are a higher handicap golfer looking to use a slightly more affordable option, you may consider the Titleist NXT or Titleist DT SoLo as both are proven performers a can help aid golfers with a slightly more inconsistent swing.",in stock,used_good,74.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/titleist-pro-v1x-50-pen.html,https://www.lostgolfballs.com.au/media/catalog/product/t/i/titleist_pro_v1x_with_pen_marks_.jpeg,,Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Titleist,Grade:AAA/Standard Grade,AAA/Standard Grade,
4053-448-3209,4053,12 Titleist Pro V1 Yellow Mint/Near Mint Grade (With Pen Marks),Save Huge Dollars On Yellow Titleist Pro V1 Golf Balls. Order by 2pm - Same Day Dispatch. Best Value Golf Balls From Lost Golf Balls,in stock,used_like_new,34.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/titleist-pro-v1-yellow-pen.html,https://www.lostgolfballs.com.au/media/catalog/product/1/_/1._titleist_pro_v1_yellow_1.png,,Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Titleist,Grade:12 Titleist Pro V1 Yellow Mint/Near Mint Grade (With Pen Marks),12 Titleist Pro V1 Yellow Mint/Near Mint Grade (With Pen Marks),
4053-448-3208,4053,12 Titleist Pro V1 Yellow AAA/Standard Grade (With Pen Marks),Save Huge Dollars On Yellow Titleist Pro V1 Golf Balls. Order by 2pm - Same Day Dispatch. Best Value Golf Balls From Lost Golf Balls,in stock,used_good,17.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/titleist-pro-v1-yellow-pen.html,https://www.lostgolfballs.com.au/media/catalog/product/1/_/1._titleist_pro_v1_yellow_1.png,,Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Titleist,Grade:AAA/Standard Grade,AAA/Standard Grade,
4054-449-3214,4054,12 Titleist Pro V1x Yellow Mint/Near Mint Grade (With Pen Marks),Yellow Titleist Pro V1x With Huge Savings! Order by 2pm - Same Day Distpatch. Save Huge $$$ At Lost Golf Balls.,in stock,used_like_new,34.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/titleist-pro-v1x-yellow-pen.html,https://www.lostgolfballs.com.au/media/catalog/product/1/_/1._titleist_pro_v1x_yellow_1.png,,Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Titleist,Grade:12 Titleist Pro V1x Yellow Mint/Near Mint Grade (With Pen Marks),12 Titleist Pro V1x Yellow Mint/Near Mint Grade (With Pen Marks),
4054-449-3213,4054,12 Titleist Pro V1x Yellow AAA/Standard Grade (With Pen Marks),Yellow Titleist Pro V1x With Huge Savings! Order by 2pm - Same Day Distpatch. Save Huge $$$ At Lost Golf Balls.,in stock,used_good,18.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/titleist-pro-v1x-yellow-pen.html,https://www.lostgolfballs.com.au/media/catalog/product/1/_/1._titleist_pro_v1x_yellow_1.png,,Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Titleist,Grade:AAA/Standard Grade,AAA/Standard Grade,
4055-450-3220,4055,50 Premium Yellow Golf Balls Mint/Near Mint Grade (With Pen Marks),Huge Savings On High Quality Yellow Golf Balls! Save Serious Money On Your Yellow Golf Balls and Buy From Lost Golf Balls Today!,in stock,used_like_new,64.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/premium-brand-yellow-mix-50-pen.html,https://www.lostgolfballs.com.au/media/catalog/product/y/e/yellow_golf_balls_small_1_1_1_1_4.jpg,,Lost Golf Balls,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Lost Golf Balls,Grade:50 Premium Yellow Golf Balls Mint/Near Mint Grade (With Pen Marks),50 Premium Yellow Golf Balls Mint/Near Mint Grade (With Pen Marks),
4055-450-3221,4055,50 Premium Yellow Golf Balls AAA/Standard Grade (With Pen Marks),Huge Savings On High Quality Yellow Golf Balls! Save Serious Money On Your Yellow Golf Balls and Buy From Lost Golf Balls Today!,in stock,used_good,39.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/premium-brand-yellow-mix-50-pen.html,https://www.lostgolfballs.com.au/media/catalog/product/y/e/yellow_golf_balls_small_1_1_1_1_4.jpg,,Lost Golf Balls,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Lost Golf Balls,Grade:AAA/Standard Grade,AAA/Standard Grade,
4058-451-3229,,100 Premium Golf Balls AAA/Standard Grade (With Pen Marks),Savings On 100 Second Hand Golf Balls! Order by 3pm - Same Day Dispatch! Free Tees With Every Order. Save Up To 50% Off New Ball Prices. Golf Ball Savings From Lost Golf Balls.,in stock,used_good,89.99 AUD,,100 Balls,https://www.lostgolfballs.com.au/100-premium-golf-balls-pen.html,https://www.lostgolfballs.com.au/media/catalog/product/p/r/premium_golf_balls_2_4.jpg,,Lost Golf Balls,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Lost Golf Balls,,AAA/Standard Grade,
4064-452-3234,4064,12 Srixon Q Star Tour AAAAA/Mint Grade,"Srixon Q Star Tour Golf Balls! Free Tees With Every Order, Order by 3pm AEST - Same Day Dispatch! Srixon, Titleist, Callaway, Bridgestone, All Your Favourites At Lost Golf Balls.",in stock,used_like_new,27.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/srixon-q-star-tour.html,https://www.lostgolfballs.com.au/media/catalog/product/s/r/srixon_q_star_tour.png,,Srixon,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Srixon,Grade:AAAAA/Mint Grade,AAAAA/Mint Grade,
4064-452-3233,4064,12 Srixon Q Star Tour AAAA/Near Mint Grade,"Srixon Q Star Tour Golf Balls! Free Tees With Every Order, Order by 3pm AEST - Same Day Dispatch! Srixon, Titleist, Callaway, Bridgestone, All Your Favourites At Lost Golf Balls.",in stock,used_like_new,24.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/srixon-q-star-tour.html,https://www.lostgolfballs.com.au/media/catalog/product/s/r/srixon_q_star_tour.png,,Srixon,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Srixon,Grade:AAAA/Near Mint Grade,AAAA/Near Mint Grade,
4064-452-3232,4064,12 Srixon Q Star Tour AAA/Standard Grade,"Srixon Q Star Tour Golf Balls! Free Tees With Every Order, Order by 3pm AEST - Same Day Dispatch! Srixon, Titleist, Callaway, Bridgestone, All Your Favourites At Lost Golf Balls.",in stock,used_good,19.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/srixon-q-star-tour.html,https://www.lostgolfballs.com.au/media/catalog/product/s/r/srixon_q_star_tour.png,,Srixon,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Srixon,Grade:AAA/Standard Grade,AAA/Standard Grade,
4070-454-3249,4070,12 Callaway Chrome Soft Triple Track Yellow AAAA/Near Mint Grade,Callaway Chrome Soft Triple Track Yellow Golf Balls! Order by 3pm For Same Day Dispatch. Free Tees With Every Order. Best Value and Quality From Lost Golf Balls. Fast Shipping.,in stock,used_like_new,36.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/callaway-chrome-soft-triple-track-yellow.html,https://www.lostgolfballs.com.au/media/catalog/product/c/a/callaway_chrome_soft_triple_track_yellow.jpg,,Callaway,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Callaway,Grade:AAAA/Near Mint Grade,AAAA/Near Mint Grade,
